Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
0,3,male,22.0,1,0,A/5 21171,7.25,S
1,1,female,38.0,1,0,PC 17599,71.2833,C
1,3,female,26.0,0,0,STON/O2. 3101282,7.925,S
1,1,female,35.0,1,0,113803,53.1,S
0,3,male,35.0,0,0,373450,8.05,S
0,3,male,28.0,0,0,330877,8.4583,Q
0,1,male,54.0,0,0,17463,51.8625,S
0,3,male,2.0,3,1,349909,21.075,S
1,3,female,27.0,0,2,347742,11.1333,S
1,2,female,14.0,1,0,237736,30.0708,C
1,3,female,4.0,1,1,PP 9549,16.7,S
1,1,female,58.0,0,0,113783,26.55,S
0,3,male,20.0,0,0,A/5. 2151,8.05,S
0,3,male,39.0,1,5,347082,31.275,S
0,3,female,14.0,0,0,350406,7.8542,S
1,2,female,55.0,0,0,248706,16.0,S
0,3,male,2.0,4,1,382652,29.125,Q
1,2,male,28.0,0,0,244373,13.0,S
0,3,female,31.0,1,0,345763,18.0,S
1,3,female,28.0,0,0,2649,7.225,C
0,2,male,35.0,0,0,239865,26.0,S
1,2,male,34.0,0,0,248698,13.0,S
1,3,female,15.0,0,0,330923,8.0292,Q
1,1,male,28.0,0,0,113788,35.5,S
0,3,female,8.0,3,1,349909,21.075,S
1,3,female,38.0,1,5,347077,31.3875,S
0,3,male,28.0,0,0,2631,7.225,C
0,1,male,19.0,3,2,19950,263.0,S
1,3,female,28.0,0,0,330959,7.8792,Q
0,3,male,28.0,0,0,349216,7.8958,S
0,1,male,40.0,0,0,PC 17601,27.7208,C
1,1,female,28.0,1,0,PC 17569,146.5208,C
1,3,female,28.0,0,0,335677,7.75,Q
0,2,male,66.0,0,0,C.A. 24579,10.5,S
0,1,male,28.0,1,0,PC 17604,82.1708,C
0,1,male,42.0,1,0,113789,52.0,S
1,3,male,28.0,0,0,2677,7.2292,C
0,3,male,21.0,0,0,A./5. 2152,8.05,S
0,3,female,18.0,2,0,345764,18.0,S
1,3,female,14.0,1,0,2651,11.2417,C
0,3,female,40.0,1,0,7546,9.475,S
0,2,female,27.0,1,0,11668,21.0,S
0,3,male,28.0,0,0,349253,7.8958,C
1,2,female,3.0,1,2,SC/Paris 2123,41.5792,C
1,3,female,19.0,0,0,330958,7.8792,Q
0,3,male,28.0,0,0,S.C./A.4. 23567,8.05,S
0,3,male,28.0,1,0,370371,15.5,Q
1,3,female,28.0,0,0,14311,7.75,Q
0,3,male,28.0,2,0,2662,21.6792,C
0,3,female,18.0,1,0,349237,17.8,S
0,3,male,7.0,4,1,3101295,39.6875,S
0,3,male,21.0,0,0,A/4. 39886,7.8,S
1,1,female,49.0,1,0,PC 17572,76.7292,C
1,2,female,29.0,1,0,2926,26.0,S
0,1,male,65.0,0,1,113509,61.9792,C
1,1,male,28.0,0,0,19947,35.5,S
1,2,female,21.0,0,0,C.A. 31026,10.5,S
0,3,male,28.5,0,0,2697,7.2292,C
1,2,female,5.0,1,2,C.A. 34651,27.75,S
0,3,male,11.0,5,2,CA 2144,46.9,S
0,3,male,22.0,0,0,2669,7.2292,C
1,1,female,38.0,0,0,113572,80.0,S
0,1,male,45.0,1,0,36973,83.475,S
0,3,male,4.0,3,2,347088,27.9,S
0,1,male,28.0,0,0,PC 17605,27.7208,C
1,3,male,28.0,1,1,2661,15.2458,C
1,2,female,29.0,0,0,C.A. 29395,10.5,S
0,3,male,19.0,0,0,S.P. 3464,8.1583,S
1,3,female,17.0,4,2,3101281,7.925,S
0,3,male,26.0,2,0,315151,8.6625,S
0,2,male,32.0,0,0,C.A. 33111,10.5,S
0,3,female,16.0,5,2,CA 2144,46.9,S
0,2,male,21.0,0,0,S.O.C. 14879,73.5,S
0,3,male,26.0,1,0,2680,14.4542,C
1,3,male,32.0,0,0,1601,56.4958,S
0,3,male,25.0,0,0,348123,7.65,S
0,3,male,28.0,0,0,349208,7.8958,S
0,3,male,28.0,0,0,374746,8.05,S
1,2,male,0.83,0,2,248738,29.0,S
1,3,female,30.0,0,0,364516,12.475,S
0,3,male,22.0,0,0,345767,9.0,S
1,3,male,29.0,0,0,345779,9.5,S
1,3,female,28.0,0,0,330932,7.7875,Q
0,1,male,28.0,0,0,113059,47.1,S
1,2,female,17.0,0,0,SO/C 14885,10.5,S
1,3,female,33.0,3,0,3101278,15.85,S
0,3,male,16.0,1,3,W./C. 6608,34.375,S
0,3,male,28.0,0,0,SOTON/OQ 392086,8.05,S
1,1,female,23.0,3,2,19950,263.0,S
0,3,male,24.0,0,0,343275,8.05,S
0,3,male,29.0,0,0,343276,8.05,S
0,3,male,20.0,0,0,347466,7.8542,S
0,1,male,46.0,1,0,W.E.P. 5734,61.175,S
0,3,male,26.0,1,2,C.A. 2315,20.575,S
0,3,male,59.0,0,0,364500,7.25,S
0,3,male,28.0,0,0,374910,8.05,S
0,1,male,71.0,0,0,PC 17754,34.6542,C
1,1,male,23.0,0,1,PC 17759,63.3583,C
1,2,female,34.0,0,1,231919,23.0,S
0,2,male,34.0,1,0,244367,26.0,S
0,3,female,28.0,0,0,349245,7.8958,S
0,3,male,28.0,0,0,349215,7.8958,S
0,1,male,21.0,0,1,35281,77.2875,S
0,3,male,33.0,0,0,7540,8.6542,S
0,3,male,37.0,2,0,3101276,7.925,S
0,3,male,28.0,0,0,349207,7.8958,S
1,3,female,21.0,0,0,343120,7.65,S
1,3,male,28.0,0,0,312991,7.775,S
0,3,male,38.0,0,0,349249,7.8958,S
1,3,female,28.0,1,0,371110,24.15,Q
0,1,male,47.0,0,0,110465,52.0,S
0,3,female,14.5,1,0,2665,14.4542,C
0,3,male,22.0,0,0,324669,8.05,S
0,3,female,20.0,1,0,4136,9.825,S
0,3,female,17.0,0,0,2627,14.4583,C
0,3,male,21.0,0,0,STON/O 2. 3101294,7.925,S
0,3,male,70.5,0,0,370369,7.75,Q
0,2,male,29.0,1,0,11668,21.0,S
0,1,male,24.0,0,1,PC 17558,247.5208,C
0,3,female,2.0,4,2,347082,31.275,S
0,2,male,21.0,2,0,S.O.C. 14879,73.5,S
0,3,male,28.0,0,0,A4. 54510,8.05,S
0,2,male,32.5,1,0,237736,30.0708,C
1,2,female,32.5,0,0,27267,13.0,S
0,1,male,54.0,0,1,35281,77.2875,S
1,3,male,12.0,1,0,2651,11.2417,C
0,3,male,28.0,0,0,370372,7.75,Q
1,3,male,24.0,0,0,C 17369,7.1417,S
1,3,female,28.0,1,1,2668,22.3583,C
0,3,male,45.0,0,0,347061,6.975,S
0,3,male,33.0,0,0,349241,7.8958,C
0,3,male,20.0,0,0,SOTON/O.Q. 3101307,7.05,S
0,3,female,47.0,1,0,A/5. 3337,14.5,S
1,2,female,29.0,1,0,228414,26.0,S
0,2,male,25.0,0,0,C.A. 29178,13.0,S
0,2,male,23.0,0,0,SC/PARIS 2133,15.0458,C
1,1,female,19.0,0,2,11752,26.2833,S
0,1,male,37.0,1,0,113803,53.1,S
0,3,male,16.0,0,0,7534,9.2167,S
0,1,male,24.0,0,0,PC 17593,79.2,C
0,3,female,28.0,0,2,2678,15.2458,C
1,3,female,22.0,0,0,347081,7.75,S
1,3,female,24.0,1,0,STON/O2. 3101279,15.85,S
0,3,male,19.0,0,0,365222,6.75,Q
0,2,male,18.0,0,0,231945,11.5,S
0,2,male,19.0,1,1,C.A. 33112,36.75,S
1,3,male,27.0,0,0,350043,7.7958,S
0,3,female,9.0,2,2,W./C. 6608,34.375,S
0,2,male,36.5,0,2,230080,26.0,S
0,2,male,42.0,0,0,244310,13.0,S
0,2,male,51.0,0,0,S.O.P. 1166,12.525,S
1,1,female,22.0,1,0,113776,66.6,S
0,3,male,55.5,0,0,A.5. 11206,8.05,S
0,3,male,40.5,0,2,A/5. 851,14.5,S
0,3,male,28.0,0,0,Fa 265302,7.3125,S
0,1,male,51.0,0,1,PC 17597,61.3792,C
1,3,female,16.0,0,0,35851,7.7333,Q
0,3,male,30.0,0,0,SOTON/OQ 392090,8.05,S
0,3,male,28.0,0,0,315037,8.6625,S
0,3,male,28.0,8,2,CA. 2343,69.55,S
0,3,male,44.0,0,1,371362,16.1,S
1,2,female,40.0,0,0,C.A. 33595,15.75,S
0,3,male,26.0,0,0,347068,7.775,S
0,3,male,17.0,0,0,315093,8.6625,S
0,3,male,1.0,4,1,3101295,39.6875,S
1,3,male,9.0,0,2,363291,20.525,S
1,1,female,28.0,0,1,113505,55.0,S
0,3,female,45.0,1,4,347088,27.9,S
0,1,male,28.0,0,0,PC 17318,25.925,S
0,3,male,28.0,0,0,1601,56.4958,S
0,1,male,61.0,0,0,111240,33.5,S
0,3,male,4.0,4,1,382652,29.125,Q
1,3,female,1.0,1,1,347742,11.1333,S
0,3,male,21.0,0,0,STON/O 2. 3101280,7.925,S
0,1,male,56.0,0,0,17764,30.6958,C
0,3,male,18.0,1,1,350404,7.8542,S
0,3,male,28.0,3,1,4133,25.4667,S
0,1,female,50.0,0,0,PC 17595,28.7125,C
0,2,male,30.0,0,0,250653,13.0,S
0,3,male,36.0,0,0,LINE,0.0,S
0,3,female,28.0,8,2,CA. 2343,69.55,S
0,2,male,28.0,0,0,SC/PARIS 2131,15.05,C
0,3,male,9.0,4,2,347077,31.3875,S
1,2,male,1.0,2,1,230136,39.0,S
1,3,female,4.0,0,2,315153,22.025,S
0,1,male,28.0,0,0,113767,50.0,S
1,3,female,28.0,1,0,370365,15.5,Q
1,1,male,45.0,0,0,111428,26.55,S
0,3,male,40.0,1,1,364849,15.5,Q
0,3,male,36.0,0,0,349247,7.8958,S
1,2,female,32.0,0,0,234604,13.0,S
0,2,male,19.0,0,0,28424,13.0,S
1,3,female,19.0,1,0,350046,7.8542,S
1,2,male,3.0,1,1,230080,26.0,S
1,1,female,44.0,0,0,PC 17610,27.7208,C
1,1,female,58.0,0,0,PC 17569,146.5208,C
0,3,male,28.0,0,0,368703,7.75,Q
0,3,male,42.0,0,1,4579,8.4042,S
1,3,female,28.0,0,0,370370,7.75,Q
0,2,female,24.0,0,0,248747,13.0,S
0,3,male,28.0,0,0,345770,9.5,S
0,3,male,28.0,8,2,CA. 2343,69.55,S
0,3,male,34.0,0,0,3101264,6.4958,S
0,3,male,45.5,0,0,2628,7.225,C
1,3,male,18.0,0,0,A/5 3540,8.05,S
0,3,female,2.0,0,1,347054,10.4625,S
0,3,male,32.0,1,0,3101278,15.85,S
1,3,male,26.0,0,0,2699,18.7875,C
1,3,female,16.0,0,0,367231,7.75,Q
1,1,male,40.0,0,0,112277,31.0,C
0,3,male,24.0,0,0,SOTON/O.Q. 3101311,7.05,S
1,2,female,35.0,0,0,F.C.C. 13528,21.0,S
0,3,male,22.0,0,0,A/5 21174,7.25,S
0,2,male,30.0,0,0,250646,13.0,S
0,3,male,28.0,1,0,367229,7.75,Q
1,1,female,31.0,1,0,35273,113.275,C
1,3,female,27.0,0,0,STON/O2. 3101283,7.925,S
0,2,male,42.0,1,0,243847,27.0,S
1,1,female,32.0,0,0,11813,76.2917,C
0,2,male,30.0,0,0,W/C 14208,10.5,S
1,3,male,16.0,0,0,SOTON/OQ 392089,8.05,S
0,2,male,27.0,0,0,220367,13.0,S
0,3,male,51.0,0,0,21440,8.05,S
0,3,male,28.0,0,0,349234,7.8958,S
1,1,male,38.0,1,0,19943,90.0,S
0,3,male,22.0,0,0,PP 4348,9.35,S
1,2,male,19.0,0,0,SW/PP 751,10.5,S
0,3,male,20.5,0,0,A/5 21173,7.25,S
0,2,male,18.0,0,0,236171,13.0,S
0,3,female,28.0,3,1,4133,25.4667,S
1,1,female,35.0,1,0,36973,83.475,S
0,3,male,29.0,0,0,347067,7.775,S
0,2,male,59.0,0,0,237442,13.5,S
1,3,female,5.0,4,2,347077,31.3875,S
0,2,male,24.0,0,0,C.A. 29566,10.5,S
0,3,female,28.0,0,0,W./C. 6609,7.55,S
0,2,male,44.0,1,0,26707,26.0,S
1,2,female,8.0,0,2,C.A. 31921,26.25,S
0,2,male,19.0,0,0,28665,10.5,S
0,2,male,33.0,0,0,SCO/W 1585,12.275,S
0,3,female,28.0,1,0,2665,14.4542,C
1,3,female,28.0,1,0,367230,15.5,Q
0,2,male,29.0,0,0,W./C. 14263,10.5,S
0,3,male,22.0,0,0,STON/O 2. 3101275,7.125,S
0,3,male,30.0,0,0,2694,7.225,C
0,1,male,44.0,2,0,19928,90.0,Q
0,3,female,25.0,0,0,347071,7.775,S
1,2,female,24.0,0,2,250649,14.5,S
1,1,male,37.0,1,1,11751,52.5542,S
0,2,male,54.0,1,0,244252,26.0,S
0,3,male,28.0,0,0,362316,7.25,S
0,3,female,29.0,1,1,347054,10.4625,S
0,1,male,62.0,0,0,113514,26.55,S
0,3,male,30.0,1,0,A/5. 3336,16.1,S
0,3,female,41.0,0,2,370129,20.2125,S
1,3,female,29.0,0,2,2650,15.2458,C
1,1,female,28.0,0,0,PC 17585,79.2,C
1,1,female,30.0,0,0,110152,86.5,S
1,1,female,35.0,0,0,PC 17755,512.3292,C
1,2,female,50.0,0,1,230433,26.0,S
0,3,male,28.0,0,0,384461,7.75,Q
1,3,male,3.0,4,2,347077,31.3875,S
0,1,male,52.0,1,1,110413,79.65,S
0,1,male,40.0,0,0,112059,0.0,S
0,3,female,28.0,0,0,382649,7.75,Q
0,2,male,36.0,0,0,C.A. 17248,10.5,S
0,3,male,16.0,4,1,3101295,39.6875,S
1,3,male,25.0,1,0,347083,7.775,S
1,1,female,58.0,0,1,PC 17582,153.4625,S
1,1,female,35.0,0,0,PC 17760,135.6333,S
0,1,male,28.0,0,0,113798,31.0,S
1,3,male,25.0,0,0,LINE,0.0,S
1,2,female,41.0,0,1,250644,19.5,S
0,1,male,37.0,0,1,PC 17596,29.7,C
1,3,female,28.0,0,0,370375,7.75,Q
1,1,female,63.0,1,0,13502,77.9583,S
0,3,female,45.0,0,0,347073,7.75,S
0,2,male,28.0,0,0,239853,0.0,S
0,3,male,7.0,4,1,382652,29.125,Q
1,3,female,35.0,1,1,C.A. 2673,20.25,S
0,3,male,65.0,0,0,336439,7.75,Q
0,3,male,28.0,0,0,347464,7.8542,S
0,3,male,16.0,0,0,345778,9.5,S
1,3,male,19.0,0,0,A/5. 10482,8.05,S
0,1,male,28.0,0,0,113056,26.0,S
0,3,male,33.0,0,0,349239,8.6625,C
1,3,male,30.0,0,0,345774,9.5,S
0,3,male,22.0,0,0,349206,7.8958,S
1,2,male,42.0,0,0,237798,13.0,S
1,3,female,22.0,0,0,370373,7.75,Q
1,1,female,26.0,0,0,19877,78.85,S
1,1,female,19.0,1,0,11967,91.0792,C
0,2,male,36.0,0,0,SC/Paris 2163,12.875,C
0,3,female,24.0,0,0,349236,8.85,S
0,3,male,24.0,0,0,349233,7.8958,S
0,1,male,28.0,0,0,PC 17612,27.7208,C
0,3,male,23.5,0,0,2693,7.2292,C
0,1,female,2.0,1,2,113781,151.55,S
1,1,male,28.0,0,0,19988,30.5,S
1,1,female,50.0,0,1,PC 17558,247.5208,C
1,3,female,28.0,0,0,9234,7.75,Q
1,3,male,28.0,2,0,367226,23.25,Q
0,3,male,19.0,0,0,LINE,0.0,S
1,2,female,28.0,0,0,226593,12.35,Q
0,3,male,28.0,0,0,A/5 2466,8.05,S
1,1,male,0.92,1,2,113781,151.55,S
1,1,female,28.0,0,0,17421,110.8833,C
1,1,female,17.0,1,0,PC 17758,108.9,C
0,2,male,30.0,1,0,P/PP 3381,24.0,C
1,1,female,30.0,0,0,PC 17485,56.9292,C
1,1,female,24.0,0,0,11767,83.1583,C
1,1,female,18.0,2,2,PC 17608,262.375,C
0,2,female,26.0,1,1,250651,26.0,S
0,3,male,28.0,0,0,349243,7.8958,S
0,2,male,43.0,1,1,F.C.C. 13529,26.25,S
1,3,female,26.0,0,0,347470,7.8542,S
1,2,female,24.0,1,0,244367,26.0,S
0,2,male,54.0,0,0,29011,14.0,S
1,1,female,31.0,0,2,36928,164.8667,S
1,1,female,40.0,1,1,16966,134.5,C
0,3,male,22.0,0,0,A/5 21172,7.25,S
0,3,male,27.0,0,0,349219,7.8958,S
1,2,female,30.0,0,0,234818,12.35,Q
1,2,female,22.0,1,1,248738,29.0,S
0,3,male,28.0,8,2,CA. 2343,69.55,S
1,1,female,36.0,0,0,PC 17760,135.6333,C
0,3,male,61.0,0,0,345364,6.2375,S
1,2,female,36.0,0,0,28551,13.0,S
1,3,female,31.0,1,1,363291,20.525,S
1,1,female,16.0,0,1,111361,57.9792,C
1,3,female,28.0,2,0,367226,23.25,Q
0,1,male,45.5,0,0,113043,28.5,S
0,1,male,38.0,0,1,PC 17582,153.4625,S
0,3,male,16.0,2,0,345764,18.0,S
1,1,female,28.0,1,0,PC 17611,133.65,S
0,3,male,28.0,0,0,349225,7.8958,S
0,1,male,29.0,1,0,113776,66.6,S
1,1,female,41.0,0,0,16966,134.5,C
1,3,male,45.0,0,0,7598,8.05,S
0,1,male,45.0,0,0,113784,35.5,S
1,2,male,2.0,1,1,230080,26.0,S
1,1,female,24.0,3,2,19950,263.0,S
0,2,male,28.0,0,0,248740,13.0,S
0,2,male,25.0,0,0,244361,13.0,S
0,2,male,36.0,0,0,229236,13.0,S
1,2,female,24.0,0,0,248733,13.0,S
1,2,female,40.0,0,0,31418,13.0,S
1,3,female,28.0,1,0,386525,16.1,S
1,3,male,3.0,1,1,C.A. 37671,15.9,S
0,3,male,42.0,0,0,315088,8.6625,S
0,3,male,23.0,0,0,7267,9.225,S
0,1,male,28.0,0,0,113510,35.0,S
0,3,male,15.0,1,1,2695,7.2292,C
0,3,male,25.0,1,0,349237,17.8,S
0,3,male,28.0,0,0,2647,7.225,C
0,3,male,28.0,0,0,345783,9.5,S
1,1,female,22.0,0,1,113505,55.0,S
0,2,female,38.0,0,0,237671,13.0,S
1,3,female,28.0,0,0,330931,7.8792,Q
1,3,female,28.0,0,0,330980,7.8792,Q
0,3,male,40.0,1,4,347088,27.9,S
0,2,male,29.0,1,0,SC/PARIS 2167,27.7208,C
0,3,female,45.0,0,1,2691,14.4542,C
0,3,male,35.0,0,0,SOTON/O.Q. 3101310,7.05,S
0,3,male,28.0,1,0,370365,15.5,Q
0,3,male,30.0,0,0,C 7076,7.25,S
1,1,female,60.0,1,0,110813,75.25,C
1,3,female,28.0,0,0,2626,7.2292,C
1,3,female,28.0,0,0,14313,7.75,Q
1,1,female,24.0,0,0,PC 17477,69.3,C
1,1,male,25.0,1,0,11765,55.4417,C
0,3,male,18.0,1,0,3101267,6.4958,S
0,3,male,19.0,0,0,323951,8.05,S
0,1,male,22.0,0,0,PC 17760,135.6333,C
0,3,female,3.0,3,1,349909,21.075,S
1,1,female,28.0,1,0,PC 17604,82.1708,C
1,3,female,22.0,0,0,C 7077,7.25,S
0,1,male,27.0,0,2,113503,211.5,C
0,3,male,20.0,0,0,2648,4.0125,C
0,3,male,19.0,0,0,347069,7.775,S
1,1,female,42.0,0,0,PC 17757,227.525,C
1,3,female,1.0,0,2,2653,15.7417,C
0,3,male,32.0,0,0,STON/O 2. 3101293,7.925,S
1,1,female,35.0,1,0,113789,52.0,S
0,3,male,28.0,0,0,349227,7.8958,S
0,2,male,18.0,0,0,S.O.C. 14879,73.5,S
0,3,male,1.0,5,2,CA 2144,46.9,S
1,2,female,36.0,0,0,27849,13.0,S
0,3,male,28.0,0,0,367655,7.7292,Q
1,2,female,17.0,0,0,SC 1748,12.0,C
1,1,male,36.0,1,2,113760,120.0,S
1,3,male,21.0,0,0,350034,7.7958,S
0,3,male,28.0,2,0,3101277,7.925,S
1,1,female,23.0,1,0,35273,113.275,C
1,3,female,24.0,0,2,PP 9549,16.7,S
0,3,male,22.0,0,0,350052,7.7958,S
0,3,female,31.0,0,0,350407,7.8542,S
0,2,male,46.0,0,0,28403,26.0,S
0,2,male,23.0,0,0,244278,10.5,S
1,2,female,28.0,0,0,240929,12.65,S
1,3,male,39.0,0,0,STON/O 2. 3101289,7.925,S
0,3,male,26.0,0,0,341826,8.05,S
0,3,female,21.0,1,0,4137,9.825,S
0,3,male,28.0,1,0,STON/O2. 3101279,15.85,S
0,3,female,20.0,0,0,315096,8.6625,S
0,2,male,34.0,1,0,28664,21.0,S
0,3,male,51.0,0,0,347064,7.75,S
1,2,male,3.0,1,1,29106,18.75,S
0,3,male,21.0,0,0,312992,7.775,S
0,3,female,28.0,3,1,4133,25.4667,S
0,3,male,28.0,0,0,349222,7.8958,S
0,3,male,28.0,0,0,394140,6.8583,Q
1,1,female,33.0,1,0,19928,90.0,Q
0,2,male,28.0,0,0,239853,0.0,S
1,3,male,44.0,0,0,STON/O 2. 3101269,7.925,S
0,3,female,28.0,0,0,343095,8.05,S
1,2,female,34.0,1,1,28220,32.5,S
1,2,female,18.0,0,2,250652,13.0,S
0,2,male,30.0,0,0,28228,13.0,S
0,3,female,10.0,0,2,345773,24.15,S
0,3,male,28.0,0,0,349254,7.8958,C
0,3,male,21.0,0,0,A/5. 13032,7.7333,Q
0,3,male,29.0,0,0,315082,7.875,S
0,3,female,28.0,1,1,347080,14.4,S
0,3,male,18.0,1,1,370129,20.2125,S
0,3,male,28.0,0,0,A/4. 34244,7.25,S
1,2,female,28.0,1,0,2003,26.0,S
1,2,female,19.0,0,0,250655,26.0,S
0,3,male,28.0,0,0,364851,7.75,Q
1,3,male,32.0,0,0,SOTON/O.Q. 392078,8.05,S
1,1,male,28.0,0,0,110564,26.55,S
1,3,female,28.0,1,0,376564,16.1,S
1,2,female,42.0,1,0,SC/AH 3085,26.0,S
0,3,male,17.0,0,0,STON/O 2. 3101274,7.125,S
0,1,male,50.0,1,0,13507,55.9,S
1,1,female,14.0,1,2,113760,120.0,S
0,3,female,21.0,2,2,W./C. 6608,34.375,S
1,2,female,24.0,2,3,29106,18.75,S
0,1,male,64.0,1,4,19950,263.0,S
0,2,male,31.0,0,0,C.A. 18723,10.5,S
1,2,female,45.0,1,1,F.C.C. 13529,26.25,S
0,3,male,20.0,0,0,345769,9.5,S
0,3,male,25.0,1,0,347076,7.775,S
1,2,female,28.0,0,0,230434,13.0,S
